<<<<<<< HEAD
emp_no,dept_no,dept_name,last_name,first_name,hire_date,,
110022,d001,Marketing,Markovitch,Margareta,1/1/1985,,
110039,d001,Marketing,Minakawa,Vishwani,4/12/1986,,
110085,d002,Finance,Alpin,Ebru,1/1/1985,,
110114,d002,Finance,Legleitner,Isamu,1/14/1985,,
110183,d003,Human Resources,Ossenbruggen,Shirish,1/1/1985,,
110228,d003,Human Resources,Sigstam,Karsten,8/4/1985,,
110303,d004,Production,Wegerle,Krassimir,1/1/1985,,
110344,d004,Production,Cools,Rosine,11/22/1985,,
110386,d004,Production,Kieras,Shem,10/14/1988,,
110420,d004,Production,Ghazalie,Oscar,2/5/1992,,
110511,d005,Development,Hagimont,DeForest,1/1/1985,,
110567,d005,Development,DasSarma,Leon,10/21/1986,,
110725,d006,Quality Management,Onuegbe,Peternela,1/1/1985,,
110765,d006,Quality Management,Hofmeyr,Rutger,1/7/1989,,
110800,d006,Quality Management,Quadeer,Sanjoy,8/12/1986,,
110854,d006,Quality Management,Pesch,Dung,6/9/1989,,
111035,d007,Sales,Kaelbling,Przemyslawa,1/1/1985,,
111133,d007,Sales,Zhang,Hauke,12/30/1986,,
111400,d008,Research,Staelin,Arie,1/1/1985,,
111534,d008,Research,Kambil,Hilary,1/31/1988,,
111692,d009,Customer Service,Butterworth,Tonny,1/1/1985,,
111784,d009,Customer Service,Giarratana,Marjo,2/12/1988,,
111877,d009,Customer Service,Spinelli,Xiaobin,8/17/1991,,
111939,d009,Customer Service,Weedman,Yuchang,7/10/1989,,
=======
emp_no,dept_no,dept_name,last_name,first_name,hire_date,,
110022,d001,Marketing,Markovitch,Margareta,1/1/1985,,
110039,d001,Marketing,Minakawa,Vishwani,4/12/1986,,
110085,d002,Finance,Alpin,Ebru,1/1/1985,,
110114,d002,Finance,Legleitner,Isamu,1/14/1985,,
110183,d003,Human Resources,Ossenbruggen,Shirish,1/1/1985,,
110228,d003,Human Resources,Sigstam,Karsten,8/4/1985,,
110303,d004,Production,Wegerle,Krassimir,1/1/1985,,
110344,d004,Production,Cools,Rosine,11/22/1985,,
110386,d004,Production,Kieras,Shem,10/14/1988,,
110420,d004,Production,Ghazalie,Oscar,2/5/1992,,
110511,d005,Development,Hagimont,DeForest,1/1/1985,,
110567,d005,Development,DasSarma,Leon,10/21/1986,,
110725,d006,Quality Management,Onuegbe,Peternela,1/1/1985,,
110765,d006,Quality Management,Hofmeyr,Rutger,1/7/1989,,
110800,d006,Quality Management,Quadeer,Sanjoy,8/12/1986,,
110854,d006,Quality Management,Pesch,Dung,6/9/1989,,
111035,d007,Sales,Kaelbling,Przemyslawa,1/1/1985,,
111133,d007,Sales,Zhang,Hauke,12/30/1986,,
111400,d008,Research,Staelin,Arie,1/1/1985,,
111534,d008,Research,Kambil,Hilary,1/31/1988,,
111692,d009,Customer Service,Butterworth,Tonny,1/1/1985,,
111784,d009,Customer Service,Giarratana,Marjo,2/12/1988,,
111877,d009,Customer Service,Spinelli,Xiaobin,8/17/1991,,
111939,d009,Customer Service,Weedman,Yuchang,7/10/1989,,
>>>>>>> a72795e7afa4b6dc95792c53d0bed60633e66193
